addresskey,metro_dist,rail_dist,bus_dist,parks_dist,monument_dist,sports_dist
7527835000,502.757396763091,354.290840976732,17.8044938147649,1111.73641406572,2440.02917210459,100.284595028349
7528915000,1887.34866943021,399.731159656087,71.8679344353238,864.768554148026,3380.35185982078,18.9842039601764
7530716000,1117.55894699116,337.721778983826,136.561341528267,455.705346138536,800.111688632079,323.134493361519
7540324000,467.017130306802,364.506515716798,57,448.052211596752,65.8007347528637,77.175125526299
7545919000,658.893769890109,305.499590834423,54.1294744108974,1388.36167255165,3105.25802505937,353.101968275454
7547256000,202.427764894048,1763.25721322784,41.8807831827438,2365.59296213483,891.700736697793,73.3348484691964
7556357000,1191.16161791757,61.6116872029975,64.3272881443016,643.339938904115,2093.56581055474,350.8275929855
7570183000,321.168180242066,802.009975000311,42.154477816716,674.681747648244,1223.67506166636,39.5355093555102
7573601000,718.048744863467,744.780504578362,210.19038988498,1628.38681061924,1659.45766759248,382.602927328059
7580467000,106.826962888589,79.8310716450681,73.109506905737,982.99412511,12.4049525983731,14.3178210632764
7604552000,497.03118614429,587.103057392823,116.211014968462,607.811021233548,1348.09617610122,160.801119399089
7612055000,288.736904464947,477.62432936357,133.003759345366,552.333847590738,2126.28475443328,292.33542378576
7614004000,59.464274989274,479.150289575202,82.0243866176395,3408.85655645717,525.489074996052,126.81088281374
7614079000,163.685674388445,577.485930564546,65.1152823843988,3455.66051898924,426.715263308439,49.0917508345343
7614773000,127.882758806651,1874.77812020516,136.945244532258,3438.1869960394,573.373869673557,350.228496841705
7615578000,1811.67988342312,476.94548954781,44.1021541423999,219.449749677062,903.003088973192,125.542821379799
7621649000,165.075740192192,177.552809045647,154,635.426884071104,1062.83133495685,50.0899191454728
7638319000,641.897517131847,683.880810156289,187.167097803012,262.712679526882,311.35632005155,349.24203484112
7646321000,61.5223536610881,102.107786186951,30.0832179129826,1252.34718828212,129.585222922633,143.561833368065
7647755000,214.037379912949,724.365239364783,28.1602556806574,1518.08492927698,2935.7175597341,298.100654142187
7659981000,1687.44362868808,72.1734023030645,67.7200118133481,981.897244334955,1972.56121449868,45.0444225182208
7661656000,297.699512932084,437.723657117136,269.764712295734,430.841173058135,3608.73206283531,281.888275740585
7673573000,425.424493888163,704.815578715454,72.8354309385206,185.620049674661,1829.63186725507,239.126410502841
7674052000,2726.80226822555,2164.07407682824,26.6422596639307,417.706746319823,535.043311865016,46.665645822172
7676099000,385.27522629933,371.079506305589,330.389164471234,321.792510788777,434.571630385207,132.412235084225
7679795000,640.666059659789,640.666059659789,144.308696896618,380.38300601679,1056.83135949806,159.965621306579
7680477000,589.376789498874,722.446537814391,110.421918114114,410.294828147623,826.327019314982,193.658656919842
7681309000,184.390889145858,588.102882155835,46.5725240887801,3441.09822912699,419.758930745303,73.6002717386288
7682651000,536.82492490569,109.87720418722,34.132096331752,1203.36181799145,2315.12682558246,172.235304162648
7687901000,12.369316876853,696.41654202065,24.8394846967484,893.039912966991,1877.5925469057,362.022098772989
7689524000,1869.6270349992,645.127468024705,30.4770405387417,515.016516823809,772.925786865374,572.282045236477
7691129000,1730.90612108225,931.388748053142,71.5681493403316,368.237218121187,2956.87996974292,65.0691939399898
7692168000,546.94058178197,501.355163531802,96.260064408871,541.781310901036,1650.76444148623,379.360172131948
7694821000,1639.86127462051,420.019047187148,17.0293863659264,1198.51862436043,3384.59108326887,89.095454429505
7702204000,185.776747737708,253.734112803147,145.086181285469,249.809352306515,1253.85042478579,164.176734039875
7714307000,1849.17846623845,435.831389415678,60.2079728939615,554.605743916808,483.346214120467,312.181037220392
7733639000,407.953428714602,518.036678238134,32.8937684067971,126.94251542086,696.064460739826,56.0357029044876
7734583000,7900.43791764103,819.628678427001,160.799535136147,3308.04540175682,482.816961825566,24.4746910092907
7736848000,336.340601176843,518.545080007515,259.077208569183,64.9984615207244,2013.08883311175,205.787545784463
7738699000,880.913162576198,489.418021736021,79.7119815335185,1364.49090378708,2760.82946581926,149.626200914145
7740644000,52,117.209214654821,57.5586657246326,726.730953616937,841.544701026294,64.1326749792959
7740940000,283.778082310808,1044.37589018514,204.362423160424,1209.79930670315,893.83319278934,105.394497010043
7741081000,482.09957477683,1115.87857762393,20,1259.78707844172,1867.63673354012,189.211521847904
7742182000,1057.06695199498,2159.12632353924,178.446017047193,2544.79447048201,3034.24601989323,521.882234225343
7746382000,120.420097990327,96.3379468330107,15.8113883008419,148.006520127112,1153.69469531592,67.1192967781993
7750754000,277.836282727796,192.31484602079,75.6439025963098,3157.22146198172,1857.94228150266,160.012499511757
7752627000,242.989711716361,250.059992801727,21.540659228538,1883.50890693463,2965.28237483383,874.735388560449
7764693000,242.738542469053,172.284648184335,11.6619037896906,44.1534459017173,125.118735915243,37.0135110466435
7766532000,18.1355038529451,1737.84982564661,27.1137695645454,383.694907784368,2696.15937160161,102.139825729248
7779655000,495.403875640875,543.346114369101,165.653252307342,326.690209122581,24.1447002754154,19.2490415346018
7779894000,260.664535370656,545.809490573405,30.8058436014987,407.470499116037,1684.89937947227,42.0119030752
7789361000,2130.44138199106,457.501433986821,37.4200761624141,116.814911825831,1820.09023587627,134.753455243278
7792022000,19.4164878389476,189.612763283488,43.6577599058861,568.625602128701,125.685977790476,13.6014705087354
7792629000,171.572142260916,597.334914432431,73.9256383131049,340.320510695695,701.09395321524,74.1609634511093
7805914000,1132.14177557407,75.1664818918645,55.7314991723711,561.788196089006,1781.11340838988,32.2490309931942
7806697000,172.661518584773,201.556443707464,68.2422156732913,622.317131775142,44.7607035561383,35.4400902933387
7809149000,2986.09644854281,413.424721079908,22.8035085019828,1197.70255764736,2705.30754236941,266.129667643425
7816843000,1635.28743650772,500.596644015918,129.189782877749,405.132940139163,507.27842576573,349.885695620727
7816944000,291.001718207986,401.001246880854,291.446393012506,117.455449001363,616.196368506901,93.93314697161
7819637000,161.152102065099,126.178445068879,87.2066511224918,252.987821550903,1025.79068674395,166.643331699771
7819664000,567.698863835396,561.092683965849,149.402141885583,305.192612691301,1908.80675744688,266.136744738489
7822133000,36.6742416417845,201.853907566834,52,1640.99000064074,3661.84702210751,424.266812395254
7822177000,470.736656741325,588.863311813531,65.3758365147246,1436.76257753403,4297.59101187134,382.800208986359
7828139000,577.084049337703,90.4709898254684,31.3049516849971,568.780192335788,2673.04637398346,536.252245216726
7828453000,197.223223784624,230.841937264441,48.7647413609464,373.287343394964,485.045410245227,97.4476890439221
7829652000,111.364267159624,174.897112611958,57.974132162543,401.448667328349,1396.01294585646,85.6329375882902
7840521000,166.171598054541,990.196445156212,53.851648071345,98.184137623946,86.1463606844515,214.755675128738
7840744000,170.176379089461,159.677800586055,88.3628881374981,468.439756745301,171.608202259604,278.684409323521
7843396000,1025.24923799045,358.665582402326,9,290.708169768447,2162.26665356599,27.0185121722126
7843511000,631.693754916099,1196.42801705744,26.1725046566048,877.897308914548,2182.9228727047,326.744548539069
